date,hour,expiry,strike_price,close
2023-10-23,13,2023-10-27,195.0,21.4
2023-10-23,13,2023-10-27,210.0,6.4
2023-10-23,13,2023-10-27,180.0,33.4
2023-10-23,13,2023-10-27,220.0,1.9
2023-10-23,13,2023-10-27,215.0,6.2
2023-10-23,13,2023-10-27,230.0,0.7
2023-10-23,13,2023-10-27,200.0,17.7
2023-10-23,13,2023-10-27,190.0,23.2
2023-10-23,12,2023-10-27,225.0,1.1
2023-10-23,12,2023-10-27,215.0,6.9
2023-10-23,12,2023-10-27,230.0,0.7
2023-10-23,12,2023-10-27,210.0,6.4
2023-10-23,12,2023-10-27,205.0,11.9
2023-10-23,12,2023-10-27,200.0,17.7
2023-10-23,12,2023-10-27,180.0,33.4
2023-10-23,12,2023-10-27,190.0,23.2
2023-10-23,12,2023-10-27,220.0,2.4
2023-10-23,12,2023-10-27,195.0,21.4
2023-10-23,11,2023-10-27,215.0,6.9
2023-10-23,11,2023-10-27,195.0,21.4
2023-10-23,11,2023-10-27,225.0,1.8
2023-10-23,11,2023-10-27,180.0,33.4
2023-10-23,11,2023-10-27,205.0,11.9
2023-10-23,11,2023-10-27,200.0,17.7
2023-10-23,11,2023-10-27,230.0,0.7
2023-10-23,11,2023-10-27,220.0,3.6
2023-10-23,11,2023-10-27,190.0,23.2
2023-10-23,11,2023-10-27,210.0,6.4
2023-10-23,10,2023-10-27,200.0,17.7
2023-10-23,10,2023-10-27,225.0,1.8
2023-10-23,10,2023-10-27,230.0,0.7
2023-10-23,10,2023-10-27,215.0,4.9
2023-10-23,10,2023-10-27,220.0,3.6
2023-10-23,10,2023-10-27,210.0,6.4
2023-10-23,10,2023-10-27,205.0,11.9
2023-10-23,10,2023-10-27,190.0,23.2
2023-10-23,10,2023-10-27,180.0,33.4
2023-10-23,10,2023-10-27,195.0,21.4
2023-10-23,9,2023-10-27,230.0,0.7
2023-10-23,9,2023-10-27,225.0,1.8
2023-10-23,9,2023-10-27,180.0,33.4
2023-10-23,9,2023-10-27,200.0,17.7
2023-10-23,9,2023-10-27,210.0,6.4
2023-10-23,9,2023-10-27,205.0,11.9
2023-10-23,9,2023-10-27,190.0,23.2
2023-10-23,9,2023-10-27,215.0,4.9
2023-10-23,9,2023-10-27,195.0,21.4
2023-10-23,9,2023-10-27,220.0,3.5
2023-10-23,8,2023-10-27,225.0,1.8
2023-10-23,8,2023-10-27,210.0,6.4
2023-10-23,8,2023-10-27,180.0,33.4
2023-10-23,8,2023-10-27,200.0,17.7
2023-10-23,8,2023-10-27,195.0,21.4
2023-10-23,8,2023-10-27,190.0,23.2
2023-10-23,8,2023-10-27,220.0,3.5
2023-10-23,8,2023-10-27,215.0,7.7
2023-10-23,8,2023-10-27,205.0,11.9
2023-10-23,8,2023-10-27,230.0,0.8
2023-10-23,7,2023-10-27,215.0,7.7
2023-10-23,7,2023-10-27,205.0,11.9
2023-10-23,7,2023-10-27,210.0,6.4
2023-10-23,7,2023-10-27,190.0,23.2
2023-10-23,7,2023-10-27,200.0,17.7
2023-10-23,7,2023-10-27,225.0,1.8
2023-10-23,7,2023-10-27,230.0,0.8
2023-10-23,7,2023-10-27,220.0,3.5
2023-10-23,7,2023-10-27,195.0,21.4
2023-10-23,7,2023-10-27,180.0,33.4
2023-10-23,6,2023-10-27,200.0,17.7
2023-10-23,6,2023-10-27,215.0,7.7
2023-10-23,6,2023-10-27,210.0,6.4
2023-10-23,6,2023-10-27,220.0,3.5
2023-10-23,6,2023-10-27,225.0,1.8
2023-10-23,6,2023-10-27,180.0,33.4
2023-10-23,6,2023-10-27,205.0,11.9
2023-10-23,6,2023-10-27,195.0,21.4
2023-10-23,6,2023-10-27,230.0,1.1
2023-10-23,6,2023-10-27,190.0,23.2
2023-10-23,5,2023-10-27,225.0,1.7
2023-10-23,5,2023-10-27,180.0,33.4
