Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1100.00,120.00,124.00,110.00,121.70,119.00,121.70,53.00,321.87,30.37,101000.00,-11500.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1240.00,11.50,12.90,7.75,10.00,9.45,10.00,13895.00,86817.70,668.70,3374500.00,384000.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1380.00,0.60,0.60,0.50,0.55,0.55,0.55,102.00,704.08,0.28,376500.00,-30000.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1110.00,-,-,-,131.75,-,110.00,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1250.00,9.25,9.60,5.80,7.40,7.10,7.40,12261.00,77071.39,440.14,5109500.00,214000.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1390.00,0.60,0.60,0.50,0.55,0.55,0.55,62.00,431.07,0.17,374500.00,-21000.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1260.00,6.00,7.00,4.25,5.25,5.10,5.25,9938.00,62861.13,251.73,3791000.00,-341500.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1400.00,0.55,0.60,0.50,0.55,0.55,0.55,1927.00,13494.18,5.18,7962500.00,-122000.00,1217.25
RELIANCE,14-Feb-2025,27-Feb-2025,CE,1120.00,100.00,105.00,100.00,105.00,105.00,100.20,2.00,12.23,1.03,4000.00,500.00,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1080.00,-,-,-,197.25,-,154.75,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1260.00,-,-,-,69.20,-,34.95,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1400.00,7.55,8.60,6.10,7.35,7.55,7.35,119.00,837.36,4.36,134500.00,14500.00,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1100.00,-,-,-,179.90,-,137.20,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1140.00,-,-,-,147.10,-,104.60,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1280.00,-,-,-,59.65,-,27.85,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1440.00,5.00,5.00,4.90,4.90,4.90,2.85,4.00,28.90,0.10,18000.00,2000.00,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1160.00,-,-,-,131.80,-,89.80,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1300.00,22.80,23.50,15.00,21.55,21.00,21.55,206.00,1360.07,21.07,307000.00,50000.00,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1480.00,-,-,-,4.00,4.00,1.45,-,-,-,40000.00,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1180.00,-,-,-,117.45,-,76.25,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1320.00,-,-,-,39.00,39.00,17.00,-,-,-,500.00,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1200.00,68.00,69.00,56.10,66.15,66.00,66.15,193.00,1220.21,62.21,69000.00,58500.00,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1000.00,-,-,-,271.10,-,230.05,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1340.00,-,-,-,30.00,30.00,13.00,-,-,-,500.00,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1220.00,-,-,-,91.35,-,52.95,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1040.00,-,-,-,233.45,-,191.65,-,-,-,-,-,1217.25
RELIANCE,14-Feb-2025,24-Apr-2025,CE,1360.00,-,-,-,30.80,-,9.85,-,-,-,-,-,1217.25
