Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1310.00,3.90,4.40,3.55,4.00,4.05,4.00,1419.00,9322.54,28.09,906500.00,58500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1110.00,119.35,120.15,117.10,120.15,120.15,118.85,3.00,18.43,1.78,500.00,-,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1120.00,-,-,-,237.15,-,109.55,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1320.00,3.30,3.40,2.80,3.10,3.15,3.10,1601.00,10591.14,24.54,1580500.00,26500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1130.00,-,-,-,162.50,-,100.45,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1140.00,92.00,92.00,92.00,92.00,92.00,91.60,4.00,24.64,1.84,6500.00,1000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1330.00,2.50,2.65,2.20,2.40,2.50,2.40,1011.00,6735.04,11.89,858500.00,56000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1340.00,1.95,2.15,1.75,1.90,1.95,1.90,840.00,5636.05,8.05,1179000.00,66000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1150.00,79.15,87.45,77.35,84.95,85.45,84.95,416.00,2561.72,169.72,371500.00,4500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1160.00,70.00,78.45,69.95,76.55,76.70,76.55,195.00,1204.74,73.74,110000.00,25500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1350.00,1.65,1.80,1.55,1.65,1.65,1.65,1470.00,9934.65,12.15,2817500.00,90000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1170.00,62.45,70.65,60.80,67.55,68.05,67.55,86.00,531.26,28.16,48000.00,7000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1180.00,54.70,61.65,53.25,59.30,59.90,59.30,408.00,2523.87,116.67,163000.00,-23000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1360.00,1.35,1.40,1.25,1.30,1.35,1.30,453.00,3083.45,3.05,635500.00,4500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1370.00,1.20,1.20,1.00,1.10,1.10,1.10,279.00,1912.65,1.50,370000.00,48000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1190.00,47.65,54.55,46.00,51.55,52.05,51.55,233.00,1443.48,57.13,86500.00,-7000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1380.00,0.95,1.30,0.90,1.05,1.05,1.05,314.00,2168.24,1.64,459000.00,30500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1390.00,0.90,0.95,0.80,0.85,0.85,0.85,107.00,744.12,0.47,142500.00,13500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1200.00,40.45,47.25,39.10,44.40,44.95,44.40,4269.00,26541.49,927.49,2104000.00,-179000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1210.00,35.05,40.00,32.75,37.45,38.00,37.45,5339.00,33256.25,955.30,3150500.00,430500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1400.00,0.80,0.85,0.75,0.80,0.75,0.80,1517.00,10624.92,5.92,5764500.00,2000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1220.00,29.40,33.70,27.50,31.50,32.00,31.50,11448.00,71596.15,1763.35,3626000.00,-227500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1410.00,0.70,0.75,0.60,0.70,0.70,0.70,92.00,648.92,0.32,153000.00,11500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1420.00,0.70,0.75,0.60,0.65,0.70,0.65,21.00,149.17,0.07,368000.00,-1000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1230.00,23.70,28.00,22.75,26.05,26.40,26.05,5955.00,37387.90,764.65,2805500.00,116500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1240.00,19.50,22.85,18.45,21.15,21.50,21.15,9466.00,59665.07,975.87,3922500.00,293000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1430.00,0.55,0.65,0.55,0.65,0.65,0.65,3.00,21.46,0.01,53500.00,-,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1440.00,0.50,0.55,0.45,0.50,0.50,0.50,63.00,453.76,0.16,388500.00,11000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1250.00,15.80,18.30,14.65,16.75,17.15,16.75,8857.00,56089.43,733.18,6307000.00,82000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1260.00,12.10,14.45,11.70,13.25,13.60,13.25,7351.00,46784.85,473.55,4188500.00,1078000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1460.00,0.45,0.55,0.45,0.50,0.50,0.05,41.00,299.40,0.10,354000.00,-1000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1270.00,9.95,11.45,9.35,10.45,10.70,10.45,2453.00,15702.28,125.73,1719500.00,144500.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1080.00,-,-,-,274.00,-,147.55,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1090.00,-,-,-,198.10,-,137.85,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1000.00,227.50,230.00,227.50,230.00,230.00,226.60,7.00,43.00,8.00,5000.00,3000.00,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1020.00,-,-,-,331.15,-,206.75,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1040.00,-,-,-,181.00,182.90,186.90,-,-,-,500.00,-,1221.25
RELIANCE,01-Jan-2025,30-Jan-2025,CE,1060.00,-,-,-,292.85,-,167.15,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1190.00,68.10,68.10,67.50,67.50,67.50,67.50,2.00,12.58,0.68,1000.00,1000.00,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1330.00,-,-,-,19.50,-,12.20,-,-,-,-,-,1221.25
RELIANCE,01-Jan-2025,27-Feb-2025,CE,1200.00,58.00,63.75,57.40,60.85,60.65,60.85,88.00,554.70,26.70,125500.00,4000.00,1221.25
