date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-10-23,08,BNB-231027-215-C,BNBUSDT,C,231027-215,2.20000000,7.80000000,2.20000000,7.70000000,84.75000000,84.75000000,6.30000000,7.40000000,50.00000000,50.00000000,"",0.43097019,7.20000000,0.41548510,0.73471484,0.03431816,0.07532396,-0.39531650,239.58000000,52879.95341117
2023-10-23,10,BNB-231027-215-P,BNBUSDT,P,231027-215,2.90000000,2.90000000,2.90000000,2.90000000,2.00000000,2.00000000,0.80000000,1.60000000,50.00000000,0.47000000,"",0.37919581,1.70000000,0.40000000,-0.30028099,0.03844924,0.07867032,-0.40603915,17.79000000,3905.05559360
2023-10-23,11,BNB-231027-220-P,BNBUSDT,P,231027-220,7.70000000,7.70000000,2.50000000,2.50000000,2.01000000,2.01000000,2.50000000,3.60000000,50.00000000,50.00000000,"",0.40997744,3.50000000,0.40498872,-0.48391180,0.04362100,0.08994457,-0.47512732,3.26000000,717.74050966
2023-10-23,12,BNB-231027-180-P,BNBUSDT,P,231027-180,0.20000000,0.20000000,0.20000000,0.20000000,0E-8,0E-8,0.10000000,0.20000000,0.02000000,50.00000000,"",1.00945294,0.10000000,0.95907390,-0.01795532,0.00205490,0.00990152,-0.12522542,145.04000000,31889.23542967
2023-10-23,22,BNB-231027-220-P,BNBUSDT,P,231027-220,2.50000000,3.80000000,2.00000000,2.00000000,300.27000000,300.27000000,1.00000000,2.50000000,18.88000000,19.27000000,"",0.72908878,1.70000000,0.61205178,-0.21501919,0.02158083,0.06464280,-0.58614229,303.26000000,69664.32394914
2023-10-23,17,BNB-231027-205-P,BNBUSDT,P,231027-205,0.80000000,0.80000000,0.40000000,0.40000000,19.84000000,19.84000000,0.30000000,0.40000000,9.68000000,63.33000000,"",0.52441061,0.30000000,0.50730169,-0.06967874,0.01206971,0.02923520,-0.20694448,59.87000000,13206.45390057
2023-10-23,11,BNB-231027-190-P,BNBUSDT,P,231027-190,0.20000000,0.20000000,0.10000000,0.10000000,1069.88000000,1069.88000000,0.10000000,0.20000000,32.19000000,70.61000000,"",0.77433527,0.10000000,0.73346198,-0.02281495,0.00327015,0.01221186,-0.11682919,1107.28000000,243785.18758871
2023-10-23,13,BNB-231027-210-P,BNBUSDT,P,231027-210,1.00000000,1.00000000,0.50000000,0.50000000,0.95000000,0.95000000,0.50000000,0.90000000,1.82000000,50.00000000,"",0.43210566,0.80000000,0.41605283,-0.16309158,0.02671458,0.05460934,-0.30293733,156.91000000,34324.43968340
2023-10-23,19,BNB-231027-210-P,BNBUSDT,P,231027-210,1.00000000,1.00000000,0.50000000,0.60000000,287.49000000,287.49000000,0.50000000,0.60000000,1.82000000,50.00000000,"",0.48567832,0.50000000,0.47333568,-0.10858104,0.01809406,0.04052029,-0.27399477,443.42000000,98480.23257825
2023-10-23,22,BNB-231027-190-C,BNBUSDT,C,231027-190,23.20000000,23.20000000,23.20000000,23.20000000,0E-8,0E-8,31.90000000,42.40000000,22.17000000,20.42000000,"",1.77419662,40.30000000,1.08709831,0.97011111,0.00282059,0.01500628,-0.24167765,10.02000000,2301.77578965
2023-10-23,03,BNB-231027-230-C,BNBUSDT,C,231027-230,1.00000000,1.20000000,0.50000000,1.20000000,436.23000000,436.23000000,1.20000000,1.60000000,9.39000000,50.00000000,"",0.46396673,1.30000000,0.43655336,0.23547791,0.02969026,0.07302171,-0.38253343,1247.46000000,277049.23842534
2023-10-23,08,BNB-231027-220-C,BNBUSDT,C,231027-220,2.00000000,3.50000000,2.00000000,3.50000000,4.93000000,4.93000000,2.80000000,3.80000000,59.83000000,0.92000000,"",0.37522674,4.00000000,0.40000000,0.53898266,0.04318603,0.09125505,-0.46107679,396.66000000,87550.55647415
2023-10-23,12,BNB-231027-190-P,BNBUSDT,P,231027-190,0.20000000,0.20000000,0.10000000,0.10000000,1069.88000000,1069.88000000,0.10000000,0.20000000,32.19000000,70.61000000,"",0.77347934,0.10000000,0.73257804,-0.02297807,0.00331578,0.01220394,-0.11789419,1107.28000000,243452.23804854
2023-10-23,13,BNB-231027-190-C,BNBUSDT,C,231027-190,23.20000000,23.20000000,23.20000000,23.20000000,0E-8,0E-8,24.40000000,32.40000000,20.04000000,21.41000000,"",1.63480759,29.50000000,1.01740379,0.92145887,0.00650104,0.03249721,-0.44083579,10.02000000,2191.89908628
2023-10-23,16,BNB-231027-195-C,BNBUSDT,C,231027-195,21.40000000,21.40000000,21.40000000,21.40000000,0E-8,0E-8,21.50000000,28.60000000,10.22000000,18.84000000,"",1.35960579,26.50000000,0.87980289,0.92856614,0.00704187,0.03001959,-0.36429290,11.23000000,2480.98994232
2023-10-23,21,BNB-231027-190-P,BNBUSDT,P,231027-190,0.20000000,0.20000000,0.10000000,0.10000000,66.47000000,66.47000000,0.10000000,0.20000000,32.19000000,50.00000000,"",0.89904845,0.10000000,0.85274756,-0.02063174,0.00268893,0.01077744,-0.13449376,1107.28000000,248213.65905482
2023-10-23,04,BNB-231027-230-P,BNBUSDT,P,231027-230,13.90000000,13.90000000,13.90000000,13.90000000,0E-8,0E-8,8.80000000,10.00000000,50.00000000,50.00000000,"",0.49791813,9.60000000,0.44895906,-0.77131912,0.02860021,0.07134518,-0.38825424,1.15000000,255.12490769
2023-10-23,07,BNB-231027-220-C,BNBUSDT,C,231027-220,2.00000000,3.50000000,2.00000000,3.50000000,4.93000000,4.93000000,2.30000000,3.50000000,21.11000000,50.00000000,"",0.41021824,3.40000000,0.40510912,0.48531787,0.04283566,0.09159129,-0.46380449,396.66000000,87021.56668395
2023-10-23,08,BNB-231027-195-P,BNBUSDT,P,231027-195,0.20000000,0.30000000,0.20000000,0.20000000,628.18000000,628.18000000,0E-8,0.20000000,0E-8,50.00000000,"",0.65848529,0.90000000,0.92924265,-0.09207334,0.00773289,0.03795984,-0.44556382,1498.56000000,330761.26130665
2023-10-23,18,BNB-231027-215-C,BNBUSDT,C,231027-215,5.70000000,7.80000000,4.90000000,6.70000000,504.68000000,504.68000000,6.60000000,6.70000000,50.00000000,0.15000000,"",0.29104710,7.30000000,0.40000000,0.76951041,0.03488607,0.06623113,-0.37400988,360.38000000,79703.36805089
2023-10-23,20,BNB-231027-190-P,BNBUSDT,P,231027-190,0.20000000,0.20000000,0.10000000,0.10000000,66.47000000,66.47000000,0.10000000,0.20000000,32.19000000,50.00000000,"",0.84820688,0.10000000,0.80390990,-0.02185062,0.00300662,0.01126673,-0.13095043,1107.28000000,245618.82925055
